,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
8,Information Technology Network Engineer,The Hive Collaborative Workspaces,1-2 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai", Bachelor s degree in Computer ScienceTo establish and support minimum baseline hardware...,lan,wan firewall voip ftp networking vpn antivirus,30+ Days Ago,2023-03-07
9,Information Technology Executive,Marriott,0-3 Yrs,Not disclosed,"Mumbai, Navi Mumbai", Troubleshoot and resolve technical problems or issues related to computer software and ...,allocation,communication skills data administration technology information technology resource tactical planning,23 Days Ago,2023-03-07
10,Associate Software Engineer,Magic EdTech,0-5 Yrs,Not disclosed,Pune," . BE, MCA, MCS or any equivalent degree, 0-5 years of experience . . . . Extensive know...",processing,technology operations sql server process information technology oracle sql data processing,30+ Days Ago,2023-03-07
11,Software developer,CRB Tech Solution,0-1 Yrs,2-4.25 Lacs PA,"Pune, Delhi / NCR, Mumbai (All Areas)"," * Candidate with strong background in software design, development. * Proficient in at ...",C++,software development data structures computer science data science programming information technology,21 Days Ago,2023-03-07
12,Information Technology Product Manager,Mycitybanglore,0-1 Yrs,Not disclosed,Bangalore/Bengaluru," Qualification: Bachelors or masters degree in Business Administration, Computer Science...",management,science technology basic administration business administration computer information technology,30+ Days Ago,2023-03-07
13,Senior Software Engineer - Integration Developer,Siemens,2-6 Yrs,Not disclosed,Pune, Experience in working in DevOps teams are highly welcome . . Understanding of Agile dev...,sap,business strategy integrated planning technology html management information technology automation,30+ Days Ago,2023-03-07
14,Software Engineer/ .Net Developer,Laxmi Infotech,0-5 Yrs,3-8 Lacs PA,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", • The ideal candidate will be responsible for the software development of products and ...,Java,fresher .net PHP software engineer software development javas css,2 Days Ago,2023-03-07
15,Associate Software Engineer,S&P Global Inc.,0-2 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram", Willing to work in 24*5 environment on rotational shifts Good communications skills,windows os,management operating systems market intelligence software linux http technology,30+ Days Ago,2023-03-07
16,Software Developer,IBM,0-3 Yrs,Not disclosed,Ahmedabad, Bachelor of Engineer in Computer Science or Information TechnologyHave the ability and ...,Debugging,Visual Studio MFC Information technology Software implementation git software development technology,7 Days Ago,2023-03-07
17,Software Engineer - SAP BW Developer,Siemens,6-8 Yrs,Not disclosed,Pune," Design, code, test, debug, document and support all types of data flows, views, web ser...",sap,development sap bw front end abap front information technology monitoring,30+ Days Ago,2023-03-07
18,IT Engineer - Software Development & Testing,Cravita Technologies,0-0 Yrs,2-4 Lacs PA,Pune, Cravita is looking for Fresher Engineers who are having excellent technical skills in e...,Java,Software Testing Engineering Projects engineering python asp.net computation software development,19 Days Ago,2023-03-07
19,Trainee Software Engineer - Security Tools (Guardium and compliance),Hsbc,0-2 Yrs,Not disclosed,Hybrid - Pune," In this role, you will:Work in 24 x7 Production support team (Shifts are Morning /Noon ...",Guardium compliance,monitoring tools Security tools tools guardium security compliance training,20 Days Ago,2023-03-07
20,Senior Executive - Logistics | Gurgaon,ReNew Power,2-6 Yrs,3-5 Lacs PA,Gurgaon/Gurugram, Hi We are looking for Senior Executive -Logistics for Gurgaon Location in SCM Team Plea...,inco terms,reverse logistics Logistics Operations Cha Logistics contracts scm rate contracts,2 Days Ago,2023-03-07
21,Logistics Executive - Bisleri - Hyderabad,Bisleri,2-7 Yrs,3-4.5 Lacs PA,Hyderabad/Secunderabad, Only Male Candidates are preferred. . Experience: . . minimum 2 to 8 years experience i...,Inbound Logistics,logistics Dispatch Transport Operations transportation operations logistics operations warehouse inventory,2 Days Ago,2023-03-07
22,Executive - Reverse Logistics,Tata Cliq,0-4 Yrs,Not disclosed,Mumbai, Monitoring the refund Process to meet the CIR to Refund Tat . . . . Monitor the Return ...,monitoring,reverse logistics management sql accessories continuous improvement improvement e-commerce,1 Day Ago,2023-03-07
23,Junior Executive / Executive - Inbound Logistics,Honda Logistics,0-2 Yrs,Not disclosed,Kolar, - Candidate should be able to handle the customers,material management,Inventory Management management handling production materials logistics inbound,7 Days Ago,2023-03-07
24,Logistics Executive,K12 Techno Services,5-6 Yrs,Not disclosed,Bangalore/Bengaluru, Roles and Responsibilities 1. The candidate should have Logistics operations experience...,Vendor Management,Logistics b2b marketing supply chain management planning vendor transportation,2 Days Ago,2023-03-07
25,Manager / Senior Manager  Logistics,Rashmi Metaliks Limited,15-20 Yrs,Not disclosed,Kharagpur," Employment Type: Full Time, Permanent. . About Us . . Rashmi Group is one of the fastes...",road logistics,Outbound Logistics Transportation Logistics Planning Logistics route3 outbound freight management,1 Day Ago,2023-03-07
26,Urgent Requirement -Field/Logistics Executive - Delhi/NCR,Accuprobe Healthcare & Diagnostics,02 Mar - 11 Mar,Not disclosed,Delhi / NCR(Jhilmil Industrial Area), Male Candidates Required. . . . . . . . . Freshers / Experience both can applyMust have...,Phlebotomy,Field Work Logistics lab biochemistry collections ncr field service,4 Days Ago,2023-03-07
27,Operation Assistant/ Executive | Leading Logistics Company,Aabhaas Manpower Services,0-3 Yrs,1.5-2 Lacs PA,"Dhule, Nagpur, Pune", To supervise the loading and unloading process done by Labours and Barcode Scanning. Ke...,fresher,Transportation logistics Courier Operations leadership supply company,11 Days Ago,2023-03-07
28,US Logistics Executive,Orbit Global,0-5 Yrs,Not disclosed,Gurgaon/Gurugram, Must be ready to work in Night shifts (5:30pm to 2:30am) Eligibilities : Must be minimu...,Logistics,communication skills logistics operations operations execution Logistics Execution,13 Days Ago,2023-03-07
29,Logistics Executive,Double Hr Consultancy,2-3 Yrs,Not disclosed,Mumbai, Graduate having logistics experience of 2 to 3 years,management,supply chain management inventory supply cost executive logistics supply chain monitoring,1 Day Ago,2023-03-07
30,Logistics Executive,Ananta Resource Management,1-2 Yrs,Not disclosed,Bangalore/Bengaluru," Bachelors Degree 1-2 years of experience in retail, warehousing, logistics, admin handl...",printing,management microsoft logistics administration cost office administration accessories,1 Day Ago,2023-03-07
31,Senior Logistics Executive,The Luxury Closet,2-4 Yrs,Not disclosed,Gurgaon/Gurugram, Requirements . . 2-4 years previous experience in warehouse operations is mandatory .,senior,logistics operations executive logistics warehouse operations warehouse e-commerce outbound,1 Day Ago,2023-03-07
32,Executive Logistics,Piramal Pharmasolutions,3-5 Yrs,Not disclosed,Mumbai, Experience . . 3 - 5 years in distribution planning / warehousing / logistics functions...,sap,distribution planning payment processing mis payments supply excel distribution,1 Day Ago,2023-03-07
33,Sr. Executive Logistics,Imerys Ceramics (india),3-5 Yrs,4-5 Lacs PA,Hyderabad/Secunderabad(Begumpet), Education and Experience requirements: . . . . A Bachelor / Master degree (Purchase / L...,Strategically plans and manages logistics,transportation and customer services. Directs transport costs and efficiency. management unloading logistics cost executive logistics,3 Days Ago,2023-03-07
34,Logistics Executive,Catalysts Bio Technologies,1-4 Yrs,2-3 Lacs PA,Sahibabad," Must have knowledge of computer, excel Must have exposure in email writing",Freight Management,Logistics Planning Vehicle Tracking Logistics Management route3 route planning planning outbound,5 Days Ago,2023-03-07
35,Logistics Executive,Integrated Personnel Services,1-4 Yrs,1-2 Lacs PA,Kolkata(Behala)," Shift Time - Rotational Shift . The Candidate Must have knowledge of VLOOKUP, Advance E...",Pivot Table,mis vlookup tables logistics operations logistics advanced excel executive logistics,1 Day Ago,2023-03-07
36,Logistics Executive,Belhem Hospitality,1-6 Yrs,Not disclosed,"Hosur, Mumbai, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", DispatchingInvoicing and Shipping DocumentationWarehouse OrganizationVendor Coordinatio...,Logistics,last mile management vendor supply executive logistics delivery vendor management,5 Days Ago,2023-03-07
37,Logistics Operation Executive,Integrated Personnel Services,1-3 Yrs,1.25-1.75 Lacs PA,"Kalyani, Kolkata(Behala +3), Ranaghat"," Shift Time - Rotational Shift . The Candidate Must have knowledge of VLOOKUP, Advance E...",Pivot Table,mis vlookup pivot logistics tables warehouse logistics operations,1 Day Ago,2023-03-07
38,Dispatch Executive (US Logistics),Vision Unlimited,1-6 Yrs,3-5.5 Lacs PA,Mohali, Open to work in night shifts,Communication Skills,Dispatch US logistics logistics,1 Day Ago,2023-03-07
39,Business Development Executive / Manager - Inside Sales,Roundsms Marketing Solutions,0-5 Yrs,2-4.5 Lacs PA,Bangalore/Bengaluru(HSR Layout), Hiring for Business Development Executive/Manager(Inside Sales)Looking for very immedia...,Sales,b2b sales sales management acquisition generation bde lead generation sales executive activities,2 Days Ago,2023-03-07
40,Sales Managers/ Executives ( Real Estate),Brick & Bolt,0-5 Yrs,3.5-8.5 Lacs PA,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", We are Hiring Passionate Individuals who have the desire to excel personally & Professi...,Selling,B2C Sales Field Sales Real Estate Sales management estate real estate,3 Days Ago,2023-03-07
41,Inside Sales & Business Development Executive,Geek Space Business Centre,0-3 Yrs,1.5-3.5 Lacs PA,Hyderabad/Secunderabad(Madhapur +3), Work in pre-allocated shifts. . Desired Candidate Profile . . . . Should be a good team...,inside sales,Client Relationship Management business development Operations Management Facility Management relationship management operations sales,1 Day Ago,2023-03-07
42,Sales And Marketing (Executive/Manager/Sales Engineer),REFRAMAT ENTERPRISES,0-5 Yrs,2-7 Lacs PA,"Kolkata, Ahmedabad, Delhi / NCR", English and Hindi and pleasing personality. . 7) Post Graduation (prefin Marketing) and...,Sales Engineering,management steel industrial sales b2b sales sales ceramics business development and marketing,2 Days Ago,2023-03-07
43,International Business Development Executive | Sales Job Pune,Advids,0-4 Yrs,1.75-4 Lacs PA,"Temp. WFH - Nagpur, Nasik/Nashik, Pune", Founder and Founding member of tech & software are preferredPrior experience of dealing...,B2B Sales,International Sales Business Development account management sales sales executive activities new business corporate,Few Hours Ago,2023-03-07
44,Business Development Executive- Bangalore-Sales,Ceasefire,0-5 Yrs,2.25-4 Lacs PA,Bangalore/Bengaluru, Should be able to handle Institutional liaison & coordination activities for any new es...,direct sales,corporate industrial sales corporate sales business development industrial sales field sales,2 Days Ago,2023-03-07
45,Sales and Marketing and Business Development Manager,VRAugment Works Put Ltd,0-2 Yrs,1.25-4 Lacs PA,Pune, We are seeking a motivated and enthusiastic sales and marketing fresher to join our tea...,Sales And Marketing,Business Development sales management client relationship relationship management lead generation client,14 Days Ago,2023-03-07
46,Sales Executive / Manager - Real Estate,Skyway Realty,0-4 Yrs,2-4.75 Lacs PA,Bangalore/Bengaluru(HSR Layout +2), Looking for Candidate who has are willing to work into Sales & Marketing. . . . Only Ma...,property sales,Client Relationship Management Marketing estate relationship management sales management relationship,4 Days Ago,2023-03-07
47,Business Development Manager(Outside Sales Specialist),Newt Global,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Hiring for Business Development Manager@ NEWT GLOBAL INDIA PVT LTD. Experience: 4 - 20 ...,Sales,account manager business development management IT Industry sales service management it sales service sales,1 Day Ago,2023-03-07
48,International Business Development Executive | Sales Job Mumbai,Advids,0-4 Yrs,1.75-4 Lacs PA,"Temp. WFH - Thane, Navi Mumbai, Mumbai (All Areas)", Founder and Founding member of tech & software are preferredPrior experience of dealing...,B2B Sales,International Sales Business Development management it sales direct account management new business development,Few Hours Ago,2023-03-07
49,Sales Executive and Sales Manager ( business development ) - B2B,rao Hr Consultancy,0-5 Yrs,2.5-6.5 Lacs PA,Ahmedabad(Ambawadi +1)," We are looking at a self-driven, fresher and experienced Sales and Business Development...",Distributor Sales,business development management Sales Channel Sales Strategies sales strategy marketing leave territory,11 Days Ago,2023-03-07
